group,subcategory,source_site,source_url,image_url,local_image_path,title,public_prompt_or_description,style_prompt_cn,style_prompt_en,likes,views,heat_score,license_note,download_status,notes
行业品类,服装,PromptBase,https://promptbase.com/prompt/retro-chenille-embroidery-patch-studios,https://assets.promptbase.com/Thumbnails%2FhKbxVk7KEzwBbExsrn7S%2Fresized%2F1782724981063n_500x500.webp,,Retro Chenille Embroidery Patch Studios,Retro Chenille Embroidery Patch Studios,,Retro Chenille Embroidery Patch Studios,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
品牌商业,营销活动,PromptBase,https://promptbase.com/prompt/retro-summer-posters,https://assets.promptbase.com/Thumbnails%2FgqHDR3E2Fa819EiFKO8b%2Fresized%2F1781725055372s_500x500.webp,,Retro Summer Posters,Retro Summer Posters,,Retro Summer Posters,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
品牌商业,营销活动,PromptBase,https://promptbase.com/prompt/retro-minimalist-travel-art-posters-2,https://assets.promptbase.com/Thumbnails%2FWeKxYBqGw4PIjkCw2MW8%2Fresized%2F1781768323612o_500x500.webp,,Retro Minimalist Travel Art Posters,Retro Minimalist Travel Art Posters,,Retro Minimalist Travel Art Posters,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/dreamy-contemporary-surreal-art-prints,https://assets.promptbase.com/Thumbnails%2Fv7pkPK4s0DX3AG5Jp2GN%2Fresized%2F1781463395404i_500x500.webp,,Dreamy Contemporary Surreal Art Prints,Dreamy Contemporary Surreal Art Prints,,Dreamy Contemporary Surreal Art Prints,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/distorted-cinematic-photos-of-carnivals,https://assets.promptbase.com/Thumbnails%2FYKaKRQzYgBjoIS0PhGI3%2Fresized%2F1781286730845a_500x500.webp,,Distorted Cinematic Photos,Distorted Cinematic Photos,,Distorted Cinematic Photos,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
品牌商业,营销活动,PromptBase,https://promptbase.com/prompt/minimal-editorial-object-posters,https://assets.promptbase.com/Thumbnails%2FnQ8P8rx42Pn5cqd00aok%2Fresized%2F1781017570349_500x500.webp,,Minimal Editorial Object Posters,Minimal Editorial Object Posters,,Minimal Editorial Object Posters,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/cinematic-wideangle-photos-2,https://assets.promptbase.com/Thumbnails%2FLq1YMiyyRd4gGt7RI86P%2Fresized%2F1781009571352d_500x500.webp,,Cinematic Wideangle Photos,Cinematic Wideangle Photos,,Cinematic Wideangle Photos,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/pencil-drawings-sketching-lives,https://assets.promptbase.com/Thumbnails%2FOFcORNvxWfMigPPxwNmx%2Fresized%2F1756553380636h_500x500.webp,,Coloring Pages For Adults,Coloring Pages For Adults,,Coloring Pages For Adults,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/ultrarealistic-floating-bottles,https://assets.promptbase.com/Thumbnails%2FOWGt84JIwHvq3BJXvoz3%2Fresized%2F1752074121286z_500x500.webp,,Ultrarealistic Floating Bottles,Ultrarealistic Floating Bottles,,Ultrarealistic Floating Bottles,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/free-midnight-reveries,https://assets.promptbase.com/Thumbnails%2FGwfQeXzRtqCzeca1nT31%2Fresized%2F1757676160946h_500x500.webp,,Free Midnight Reveries,Free Midnight Reveries,,Free Midnight Reveries,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/cinematic-lifestyle-portrait-photos-2,https://assets.promptbase.com/Thumbnails%2FkAPZbQIGNAcQVJa5gafp%2Fresized%2F1769535199364c_500x500.webp,,Cinematic Lifestyle Portrait Photos,Cinematic Lifestyle Portrait Photos,,Cinematic Lifestyle Portrait Photos,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
行业品类,服装,PromptBase,https://promptbase.com/prompt/oversized-tshirt-and-hoodie-mockups-2,https://assets.promptbase.com/Thumbnails%2FNaX4ONudVicXauUoxcZh%2Fresized%2F1777739625417_500x500.webp,,Oversized Tshirt And Hoodie Mockups,Oversized Tshirt And Hoodie Mockups,,Oversized Tshirt And Hoodie Mockups,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/kinetic-art-nouveau-artworks-2,https://assets.promptbase.com/DALLE_IMAGES%2FlLlawp7sYHOc3xML1JtYoJ6AoSy1%2Fresized%2F1725316673075_500x500.webp,,Kinetic Art Nouveau Artworks,Kinetic Art Nouveau Artworks,,Kinetic Art Nouveau Artworks,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
品牌商业,营销活动,PromptBase,https://promptbase.com/prompt/summer-travel-influencer-instagram-photos,https://assets.promptbase.com/Thumbnails%2Fy5tdy7VKsXXVwD18gJzU%2Fresized%2F1777922112999q_500x500.webp,,Summer Travel Influencer Instagram Photos,Summer Travel Influencer Instagram Photos,,Summer Travel Influencer Instagram Photos,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
其他分类,其他,PromptBase,https://promptbase.com/prompt/create-visually-engaging-handdrawns,https://assets.promptbase.com/Thumbnails%2Fllko7NAGoP40lgrc1if6%2Fresized%2F1782723228134_500x500.webp,,Create Visually Engaging Handdrawns,Create Visually Engaging Handdrawns,,Create Visually Engaging Handdrawns,,,,public preview URL only; prompt marketplace item license must be verified before commercial use,link_only,"PromptBase is a supplemental public prompt source, not one of the top-five community sources."
