rank,field,model,title,repo_no,description,prompt,image_url,author,published_at
1,视觉设计,Nano Banana Pro,带肖像和中英文定制的宽引言卡,1,一个用于生成宽幅引言卡的提示，卡片上有一位名人的肖像，背景为棕色，引言文字为浅金色衬线字体。布局为文字占据三分之二，人物占据三分之一。引言文字和作者可参数化以便重复使用。,"一张宽幅引言卡片，上面印有一位名人，背景为棕色，引言文字为浅金色衬线字体：“{argument name=""famous_quote"" default=""Stay Hungry, Stay Foolish""}”，下方是较小的文字：“—{argument name=""author"" default=""Steve Jobs""}”。文字前面有一个大而柔和的引号。人物肖像在左侧，文字在右侧。文字占据图片的三分之二，肖像占据三分之一，肖像部分带有轻微的渐变过渡效果。",inspiration-images/prompt-01.jpg,Nicolechan,2025年11月21日
2,视觉设计,Nano Banana Pro,高级液态玻璃 Bento 网格产品信息图，含 8 个模块,2,使用 bento grid 8 模块布局创建信息图，用户可以指定食品、药品、科技等类别中的任何产品名称，选择语言、背景样式和主网格样式。,"输入变量：[插入产品名称]
语言：[插入语言]

系统指令：
创建一个包含 8 个模块（卡片 2 到 8 只显示文本标题）的优质液态玻璃 Bento 网格产品信息图。
1) 产品分析：
→ 识别产品的主导自然色 → “主色调”
→ 识别类别：食品 / 药品 / 科技
2) 调色板（源自主色调）：
→ 产品 + 强调色：完全饱和的主色调
→ 图标、边框：柔和的主色调（30-40% 饱和度，绝不使用黑色）
3) 视觉风格：
→ 主打产品：真实摄影（真实、优质）、3D 玻璃版本 [二选一]
→ 卡片：Apple 液态玻璃（85-90% 透明），带有极细边框和微妙的阴影，营造浮动深度并反射背景颜色
→ 背景保持在卡片后面，卡片所在区域高度模糊 [二选一]：
  - 飘渺：产品精髓、柔和的焦散、抽象的光晕
  - 微距：产品纹理特写、高度模糊
  - 图案：产品柔和重复，不透明度为 10-15%
  - 情境：相关环境，模糊 + 去饱和
→ 添加微妙的动态效果
→ 不对称 Bento 网格，16:9 横向
→ 主卡片：28-30% | 信息模块：70-72%
4) 模块内容（8 张卡片）：
M1 — 主打：以真实照片 / 3D 玻璃 / 风格化诠释（三选一）的精美形式展示产品 + 产品名称标签
M2 — 核心优势：4 个独特优势 + 主色调图标
M3 — 使用方法：4 种使用方法 + 图标
M4 — 关键指标：5 个精确数据点
格式：[图标] [标签] [粗体值] [单位]
食品：卡路里：[X] 千卡/100 克，碳水化合物：[X] 克（膳食纤维 [X] 克，糖 [X] 克），蛋白质：[X] 克，[关键维生素]：[X] 毫克（每日摄入量 [X]%），[关键矿物质]：[X] 毫克（每日摄入量 [X]%）
药品：活性成分：[名称]，强度：[X] 毫克，起效时间：[X] 分钟，持续时间：[X] 小时，半衰期：[X] 小时
科技：芯片：[型号]，电池续航：[X] 小时，重量：[X] 克，[关键规格]：[值]，连接性：[协议]
M5 — 适用人群：4 组推荐人群，带有绿色对勾图标 | 3 组注意事项人群，带有琥珀色警告图标
M6 — 重要提示：4 项注意事项 + 警告图标
M7 — 快速参考：
→ 食品：血糖指数 + 带有图标的膳食标签
→ 药品：副作用 + 严重程度，带有图标
→ 科技：兼容性 + 认证，带有图标
M8 — 你知道吗：3 个事实（起源、科学、全球统计数据）+ 图标
输出：1 张图片，16:9 横向，超优质液态玻璃信息图。",inspiration-images/prompt-02.png,Mansi Sanghani,2026年1月20日
3,视觉设计,Nano Banana Pro,手绘风格标题图片提示（来自照片）,3,手绘风格的头部图片，描绘一个人正在介绍 Nano Banana Pro。,"完全重塑上传的人物。
将其作为一篇笔记文章的标题图片，该人物在文章中介绍“Nano Banana Pro”。
长宽比：横向 16:9。
风格和颜色：简洁、手绘风格、斜体，带有蓝绿色渐变。
标题文字：“深入解读 Google 全新 AI ‘Nano Banana Pro’”。",inspiration-images/prompt-03.jpg,セミナー講師専門AIコンシェルジュ｜工藤 晶,2025年11月22日
4,视觉设计,Nano Banana Pro,信息图 / 教育视觉图 - AR 悬崖风景人像分析,32,一个高科技提示词，用于对努沙佩尼达 (Nusa Penida) 悬崖边的风景人像进行增强现实分析，并叠加数据图层。,"{
  ""image_description"": {
    ""overall_theme"": ""高科技增强现实分析，呈现户外风景人像"",
    ""resolution"": ""4K 超高清，超写实，带有清晰的数据叠加层"",
    ""subject"": {
      ""name"": ""Woman_Model_A"",
      ""pose"": ""坐姿侧面，向左看，侧身"",
      ""attire"": {
        ""garment"": ""垂褶单肩褶皱丝绸绿裙"",
        ""color_hex"": ""#1E6641"",
        ""footwear"": ""栗色靴子"",
        ""accessory"": {
          ""type"": ""双色皮革/金属包"",
          ""details"": ""金色搭扣特征""
        }
      }
    },
    ""environment"": {
      ""location"": ""努沙佩尼达 (Nusa Penida) 悬崖"",
      ""terrain"": ""岩石小径"",
      ""details"": {
        ""main_trees"": {
          ""type"": ""蕨类树木"",
          ""count"": 3
        },
        ""vegetation"": ""茂密的苔藓树木，鲜艳的红花，异国情调的植物"",
        ""boundary"": ""带有粗绳栏杆的木制围栏柱"",
        ""background"": ""远处被薄雾部分遮挡的树木覆盖的悬崖，有飞鸟"",
        ""specific_sign"": ""围栏柱上的小标志，文字为 'Kelingking'""
      }
    },
    ""data_overlay"": {
      ""style"": ""半透明青色数字界面，带有发光的网格线和面板轮廓"",
      ""panels"": [
        {
          ""position"": ""左上角（垂直堆叠）"",
          ""content"": [
            ""分析：主体检测 (SUBJECT_DETECT)"",
            ""姿势：坐姿侧面 (SEATED_PROFILE)"",
            ""服装：垂褶单肩 (DRAPED_ONE_SHOULDER)"",
            ""颜色：#1E6641_丝绸绿"",
            ""配饰 1：双色包"",
            ""材质：皮革/金属"",
            ""鞋跟：栗色靴子""
          ]
        },
        {
          ""position"": ""顶部中心（浮动块）"",
          ""content"": ""坐标：-8.7495° S, 115.0934° E""
        },
        {
          ""position"": ""左侧中心（嵌入式注释）"",
          ""linked_to"": ""最左侧的蕨类树木"",
          ""content"": ""蕨类树木 (数量: 3)""
        },
        {
          ""position"": ""右侧中心（嵌入式注释）"",
          ""linked_to"": ""最右侧的蕨类树木"",
          ""content"": ""蕨类树木 (数量: 3)""
        },
        {
          ""position"": ""右上角（注释）"",
          ""linked_to"": ""悬崖"",
          ""content"": ""悬崖距离 (约: 450m)""
        },
        {
          ""position"": ""右下角（格式化 JSON 块）"",
          ""content"": ""{\n  \""model\"": {\n    \""name\"": \""Woman_Model_A\"",\n    \""pose\"": \""坐姿向左看侧面\""\n  },\n  \""apparel\"": {\n    \""garment\"": \""褶皱丝绸绿裙\"",\n    \""style\"": \""单肩垂褶\""\n  },\n  \""bag\"": {\n    \""type\"": \""双色皮革/金色搭扣\"",\n    \""brand\"": \""奢华配饰\""\n  },\n  \""location\"": \""努沙佩尼达悬崖\"",\n  \""terrain\"": \""岩石小径\""\n}""
        }
      ]
    }
  }
}",inspiration-images/prompt-04.jpg,NUSRAT,2026年6月13日
5,视觉设计,Nano Banana Pro,信息图 / 教育视觉图 - 工程产品信息图设计,39,一份用于创建专业工程信息图的详细提示词，采用网格布局，包含各种电子产品的爆炸视图和技术注释。,"超精细技术工程信息图，简洁的 {argument name=""background color"" default=""白色""} 背景，由清晰的黑色分隔线划分为精确的 {argument name=""grid layout"" default=""2×2 网格""}。蓝图风格的工业设计可视化，包含逼真的 3D 渲染、透明剖面图、爆炸视图、尺寸标注、技术说明框、测量指南以及颜色编码的工程箭头（红色、蓝色、绿色、橙色）。专业产品设计演示，Apple 风格工业设计文档，高端技术插图。左上角：{argument name=""primary subject"" default=""现代智能手机""} 以倾斜视角展示，屏幕已移除，露出紧密排列的内部组件。可见 L 型电池、先进的逻辑板、处理器芯片、摄像头模组、Face ID 传感器、Taptic Engine、散热路径、排线、螺丝、连接器和散热架构。组件周围有精确的工程标签和尺寸线。右上角：带有大变焦镜头的专业无反相机。镜头组件的纵向剖面图，展示了多个镜片、光学组、光圈机构、图像传感器、快门系统、电子元件和取景器结构。额外的爆炸子图展示了光圈叶片的构造和组装顺序。详细的光学工程注释。左下角：高级无线耳机充电盒，呈半透明且拆解状态。一个耳机放置在内部，第二个耳机悬浮在上方，呈爆炸视图配置。内部锂聚合物电池、微型逻辑板、充电触点、布线通道、磁铁和紧凑的电子架构通过透明外壳清晰可见。技术标注和组件识别标记。右下角：带有炭灰色键帽和单个红色强调键的现代机械键盘。水平透明剖面部分展示了机械轴体、轴座、弹簧、卫星轴、PCB 电路、LED 灯和内部框架结构。下边缘包括放大的轴体横截面图和几何 PCB 原理图蓝图。全程包含工程测量和组件注释。高度详细的 CAD 可视化，工业设计展示项目，精密工程绘图，爆炸组装图，透明材质，逼真渲染，超清晰对焦，简洁排版，科学信息图美学，专业产品拆解文档，白皮书风格，8K 分辨率，博物馆级技术插图，对称布局，卓越的清晰度。",inspiration-images/prompt-05.jpg,⁠ luciaAI,2026年6月5日
6,视觉设计,Nano Banana Pro,信息图 / 教育视觉图 - 图片转信息图指南,41,将地点的视觉图像转换为描述该地点的说明性信息图或视觉指南。,"将此图片转换为描述该地点的 {argument name=""format"" default=""信息可视化指南""}。",inspiration-images/prompt-06.jpg,AI探路者Tim,2026年6月3日
7,视觉设计,Nano Banana Pro,信息图 / 教育视觉图 - 功能性外套设计规格表,44,一份详细的男士功能性外套时尚设计规格表与产品布局，涵盖模块化造型与科技感材质展示。,"一份 {argument name=""collection name"" default=""AMZ Collection""} 时尚设计规格表与产品布局，以长图信息图形式呈现，展示男士功能性外套。左侧为全身照，模特为 32 岁男性，留短须，剪渐变发型，身穿深橄榄绿与板岩灰配以亮橙色点缀的硬核多口袋机能夹克及配套工装裤。页面顶部醒目地展示了标题 ""{argument name=""title"" default=""AMZLECTION - URBAN FRONTIER SERIES""}"" 和 ""AERO SHELL PARKA SYSTEM""，采用粗体、简洁的无衬线字体，并附有其作为系统工程师和城市探险家的职业简介。右侧为技术性的 ""关节与分层研究"" 分解图，展示了多个背部和前部轮廓角度，详细说明了拉链系统、关节袖设计及兜帽收纳方式。中心部分提供宏观特写镜头，突出展示了科技感材质，包括防撕裂科技面料、密封拉链以及防滑衬里袖口。下方 ""模块化造型"" 一栏展示了该服装的多种穿搭方式，例如全防护系统或轻量化城市外壳。布局底部设有标注为 ""模块化配件"" 的网格区域，展示了多功能腰带、触屏兼容科技手套、EDC 多功能工具和头灯等配件。旁边是 ""城市调色板与材质"" 色卡条，显示了板岩灰、橄榄绿、夜空黑、烈焰橙和科技象牙白，随后是一个全面的 ""技术规格"" 模块，概述了该高性能装备的面料、保暖层、闭合方式、口袋及功能特性。",inspiration-images/prompt-07.jpg,Minahil,2026年5月27日
8,广告设计,Nano Banana Pro,社交媒体帖子 - 火车广告风格的书籍广告图片,20,一个详细的日文提示，用于生成一个 16:9 的商业书籍风格广告，其中包含特定书籍图片和日文文案要点。,"请生成一张广告图片。

==== 广告规格 ===
- 宽高比：16:9（横向）
- 广告产品：第一张附件图片中的书籍
- 主要吸睛点：将第一张附件图片中的书籍以三维方式呈现
- 语言：日语
- 风格：商业书籍广告

# 需包含的文字：
- 前导文案：【发售约一周后决定加印】

书籍《{argument name=""book_title_en"" default=""Designing from Zero with AI""}》现正热销中。

亚马逊畅销书排行榜
商业设计类销量排名第一（截至 10/15）
",inspiration-images/prompt-08.jpg,KAWAI,2025年11月22日
9,广告设计,Nano Banana Pro,信息图 / 教育视觉图 - 芒果冰沙信息图与商业摄影,42,一套用于高端饮品广告的提示词，包含芒果冰沙的爆炸式垂直信息图，具有逼真的质感和摄影棚灯光效果。,"- 一张高端饮品产品摄影图，主体为一杯 {argument name=""fruit"" default=""mango""} 冰沙，放置在明亮的纯色热带黄色摄影棚背景中心，装在透明的高玻璃杯中。冰沙呈现出浓郁的奶油芒果质感，配有新鲜芒果片装饰、冷凝水珠和鲜艳的色彩。柔和的商业灯光营造出干净的反射效果，并在玻璃杯下方投下逼真的阴影。超清晰对焦，高端饮品广告风格，超写实，8K 分辨率。
长宽比：1:1

创作一张超写实的芒果冰沙爆炸式垂直信息图构图。
从上到下的结构：
奶油泡沫层（轻盈透气的奶油质感）
→ 芒果果泥层（浓郁鲜艳的芒果质感）
→ 新鲜芒果块（多汁的水果细节）
→ 冰块层（清晰逼真的冰块质感）
→ 玻璃杯底（极简透明玻璃）
完美对齐，热带黄色背景，柔和逼真的阴影，高端饮品信息图设计。
使用以下确切标签，添加带有细指示线的简洁信息图文字标签：
“Cream”（奶油）
“Mango Puree”（芒果果泥）
“Mango”（芒果）
“Ice”（冰块）
“Glass”（玻璃杯）
超写实饮品细节，高端商业摄影，8K 分辨率。
长宽比：1:1",inspiration-images/prompt-09.jpg,𝐌,2026年5月31日
10,广告设计,Nano Banana Pro,产品营销 - 都市夏季街头时尚人像,86,一个用于创作专业街头时尚摄影的高细节提示词，展现了一位在都市精品店背景下、拥有铜红色头发的年轻女性。,"超写实的街头时尚人像，一位拥有 {argument name=""hair color"" default=""长直铜红色头发""} 的年轻女性站在城市人行道上，背景是一间现代精品店的店面。她身穿 {argument name=""summer outfit"" default=""一顶黑色棒球帽，一件修身白色罗纹背心，内搭一件淡薄荷绿与奶油色条纹吊带衫，下身穿着柔和淡色调的宽松条纹夏季短裤""}。双手拿着一副蓝色墨镜，并携带一个 {argument name=""bag description"" default=""奶油色与森林绿配色的设计师款行李袋""}。自然妆容，肤色透亮，淡粉色嘴唇，表情从容自信。现代生活方式美学，休闲夏季时尚，Clean Fit 风格，高端街头服饰 Lookbook。她身后是一家时尚设计商店，拥有大面积玻璃窗、温暖的室内灯光、极简主义家居装饰陈列、服装架以及现代零售建筑风格。柔和的自然日光，玻璃上真实的倒影，地道的都市氛围，照片级的皮肤质感，编辑级时尚摄影，高端生活方式广告大片，高细节，奢侈购物区美学，8K 画质。",inspiration-images/prompt-10.jpg,Miz,2026年6月15日
11,广告设计,Nano Banana Pro,产品营销 - 奢华金茶杯与山间溪流,88,一个奢华品牌营销提示词，展示了置于纯净山间溪流中的金茶杯，并配有慢动作水流物理效果。,"为 {argument name=""brand"" default=""Nano Banana Pro""} 打造的超高端电影级广告。一只奢华的金茶杯优雅地放置在纯净山间溪流的流动水龙头下。清澈见底的溪水以慢动作注入杯中，激起迷人的水花和闪烁的水滴。{argument name=""logo"" default=""Nano Banana Pro logo""} 精致地镌刻在杯身上，散发着温暖的金色光芒。周围环绕着圆润的河石、郁郁葱葱的绿植和晨间的薄雾。戏剧性的电影级布光、体积光束、超写实水流物理效果、微距细节、奢华商业广告风格、浅景深、8K HDR、照片级真实纹理、高端品牌营销、慢动作水花特效、抛光金属上的倒影、获奖级广告摄影、电影级调色、大师级品质、超精细细节。",inspiration-images/prompt-11.jpg,Maddox,2026年6月15日
